,start,end
0,0.262041,0.87347
1,1.201021,3.395615
2,12.872765,16.3994
3,16.694196,19.478382
4,20.122566,23.943997
5,24.293385,27.678082
6,27.972878,30.484104
7,31.084615,33.104514
8,33.213698,35.48472
9,35.790435,36.816762
10,37.406354,41.282377
11,41.588092,43.520644
12,43.990135,47.069116
13,51.665752,53.008713
14,53.216162,54.067795
15,54.788408,59.34137
16,59.658003,62.616883
17,62.944434,66.154437
18,66.471069,71.580869
19,71.875665,72.487094
20,72.945666,77.89169
21,78.186486,79.627712
22,79.955263,83.87496
23,84.137001,85.370777
24,86.331594,91.157516
25,91.474149,93.745171
26,94.039967,97.162623
27,97.479256,102.654566
28,102.916607,107.305794
29,107.655182,111.869674
30,112.219062,115.199779
31,115.39631,116.302535
32,116.728352,121.674376
33,122.012845,125.659583
34,125.987134,127.275502
35,127.679482,131.893975
36,133.564486,134.874691
37,135.158569,141.087247
38,141.316533,143.358269
39,143.784086,144.919597
40,145.247148,148.085926
41,148.369803,155.837972
42,156.809708,162.432671
43,162.814814,167.193083
44,167.520634,170.261146
45,170.403085,171.909821
46,173.089005,179.072275
47,179.268806,188.079935
48,188.221874,192.589224
49,192.720244,195.231471
50,195.384328,199.991882
51,200.188413,203.802395
52,203.955253,207.47097
53,208.923113,215.73618
54,216.107404,219.874244
55,221.064347,227.298739
56,227.604454,231.251191
57,231.556906,236.830481
58,237.158032,241.994873
59,242.322424,243.195894
60,243.621711,247.978142
61,248.283857,251.592125
62,251.963349,252.956921
63,253.240799,255.71927
64,256.014067,257.171414
65,257.531721,260.479682
66,260.850907,263.242031
67,263.547746,265.218257
68,266.222748,274.160407
69,274.455203,275.317754
70,275.699897,278.615104
71,278.931737,281.12633
72,281.552147,283.288168
73,283.659393,289.904704
74,290.26501,293.868074
75,294.217462,294.97083
76,295.898892,304.142265
77,304.393388,305.037572
78,305.354205,306.522471
79,306.806349,308.225738
80,308.509616,310.955332
81,311.271965,313.477476
82,313.914211,318.183296
83,318.478092,320.552584
84,320.869217,322.539728
85,322.834524,325.465853
86,325.738812,329.352794
87,329.603917,330.433713
88,330.826775,332.158817
89,332.715654,337.421474
90,337.792698,338.786271
91,339.179332,341.504946
92,341.810661,345.479235
93,345.752194,347.215256
94,347.957706,352.303219
95,352.608934,353.504241
96,354.213935,359.836898
97,360.219042,364.105983
98,364.422616,367.730884
99,368.069353,368.375068
100,368.942823,371.333948
101,371.967213,375.515685
102,375.766808,378.430892
103,378.791198,382.285078
104,382.459772,384.239467
105,384.534264,387.689674
106,388.039062,389.654982
107,389.862431,392.559269
108,392.886821,395.791109
109,396.096823,396.675497
110,397.439783,403.696012
111,404.012645,407.550199
112,407.681219,410.661936
113,410.956732,414.385102
114,414.701735,418.348472
115,418.69786,420.259188
116,420.532147,422.497455
117,423.261741,429.397868
118,429.769093,431.53787
119,431.843584,437.302772
120,437.597568,441.822979
121,442.128694,446.026554
122,446.332268,450.350231
123,450.721455,452.50115
124,453.112579,459.336053
125,459.510747,462.895444
126,463.102893,464.456772
127,464.576874,465.253813
128,465.40667,467.350141
129,467.513917,468.354632
130,468.49657,470.363613
131,470.614735,473.278819
132,473.453513,475.746372
133,475.942902,480.987192
134,481.129131,482.766887
135,482.996173,485.245358
136,485.441889,492.549751
137,493.248528,497.954347
138,498.27098,504.123229
139,504.527209,507.365987
140,507.715375,510.281193
141,510.554153,513.382012
142,514.146298,517.050586
143,517.236198,520.762834
144,520.904772,524.562428
145,524.715285,527.51039
146,527.70692,531.397331
147,531.582944,533.635598
148,533.733864,534.672844
149,534.803864,538.090295
150,538.264989,540.121113
151,540.317644,544.488463
152,544.630402,548.550099
153,549.521834,554.729899
154,555.079287,560.866026
155,561.226333,566.15052
156,566.510827,570.244911
157,570.561544,574.208281
158,574.88522,581.982164
159,582.298797,584.384207
160,584.689922,588.93717
161,589.60319,596.547277
162,596.885747,600.914627
163,601.264015,604.517691
164,604.845243,607.804122
165,608.098918,611.51637
166,611.887595,613.372494
167,613.962086,618.394946
168,621.495765,623.035256
169,623.592093,629.586281
170,629.946588,631.846385
171,632.152099,636.366592
172,636.661389,644.391598
173,644.981191,666.119165
174,667.898861,677.790909
175,680.73887,686.088874
176,686.503772,691.504388
177,691.842858,693.24041
178,693.633471,701.320008
179,701.691232,706.462562
